CASRN	Uterotrophic LEL	PhysChem Properties fu	PhysChem Properties MW, Molecular Weight	PhysChem Properties CLint	PhysChem Properties MP	PhysChem Properties pKa_ionization	PhysChem Properties LogD, pH 7.4
72-33-3	1.7266666666666667E-4	0.0246767359341491	310.193280072001	1.21736740355877	158.769428472674	1.0	4.0480820366512
17804-35-2	NA	0.0967614505795535	290.137890436	1.72307518326547	183.853338841037	2.0	1.55717084156476
90-05-1	NA	0.42922991397771	124.052429496	-4.03119389628873	24.2172813248429	1.0	1.2632135491613
67747-09-5	NA	0.0217339900342066	375.030809792	1.155651685302	55.9785466594479	1.0	3.87283478150296
2921-88-2	NA	0.00741607511699577	348.926283882	0.586785148666818	41.9042913822832	1.0	4.851845620755
69-72-7	NA	0.243214999705507	138.031694052	0.606480436650255	161.280308255152	1.0	-3.24636452315403
63612-50-0	NA	0.0758610861037591	317.06234046	0.695432088307938	203.534402278901	2.0	-1.89395866133548
98319-26-7	NA	0.0790174110809369	372.277678392001	-0.428276518088136	243.959403663539	2.0	2.6436193463463
52645-53-1	800.0	0.00428438958843214	390.078949860001	1.4288080259627	50.7978456750954	0.0	6.40749887021032
584-13-4	NA	0.945343546761149	84.043596128	1.12047153780022	86.9866796530103	1.0	-0.24743333163091
66332-96-5	NA	0.0470206727699278	323.113313412	0.916271979304413	107.977451166127	1.0	3.82618282893154
131-56-6	466.73274066666664	0.0323469749479545	214.06299418	0.41413122434368	142.661112894774	1.0	2.48762170750542
94-26-8	402.5	0.0727822256630401	194.094294308	1.52993761608242	79.0138257338047	1.0	3.22902276425867
80-05-7	221.8108108108108	0.107294987691578	228.115029752	1.24378945030492	144.678994485729	1.0	3.34699944958867
25154-52-3	72.72727272727273	NA	NA	NA	NA	NA	NA
103-83-3	NA	0.548670885808556	135.104799416	0.411935323037323	-38.1141336996029	1.0	0.605520415951677
50-41-9	2.0	0.064256324271735	405.185942196001	-0.450765793381594	86.4496041103585	1.0	4.60252317011387
36455-72-8	0.01	0.038214459732299	320.162373868001	1.42887240955284	124.944486097998	1.0	3.72056853252898
1071-83-6	NA	0.957994281900565	169.014008986	-5.66082911775042	185.992960578787	1.0	-13.2957803729585
497-19-8	NA	0.876605260517889	62.000393924	1.27508840626517	126.532629914775	1.0	-6.81921997595059
103-23-1	NA	0.0377340315241892	370.308309824001	1.17678036888074	-61.7850101480661	0.0	6.85100972719377
57-30-7	NA	0.558580076769361	232.084792244	-1.14078159844325	178.043184111677	1.0	0.647435699655758
71-58-9	NA	0.0992598055945058	386.245709568001	1.22900347720795	187.193188176889	0.0	3.33326002676627
58-22-0	0.2	0.356251135321149	288.208930136001	1.34053663892265	152.611519456751	1.0	3.24791737845027
6171-48-8	0.005	0.0455622994271788	286.193280072001	1.25465252127306	197.867298787947	1.0	3.67930304302894
149-30-4	NA	0.0164074827158024	166.98634116	1.26043036408692	173.106917197158	2.0	0.242360502555893
99-96-7	NA	0.587071441941206	138.031694052	-1.1310808485056	193.352268026505	1.0	-1.39664243414423
67-66-3	NA	0.0665038712964423	117.914383072	1.09075854424829	-66.904889362901	0.0	1.96719566491522
84-16-2	1.0E-4	0.0147664551648973	270.161979944	0.136291758426843	163.527196101965	1.0	4.12181185689531
98-54-4	99.62468487999999	0.0947671683153366	150.104465068	1.3979711965926	72.5654199100994	1.0	3.32068944395142
22248-79-9	NA	0.0213692367820179	363.899256118	0.0593541585393106	84.0387431740619	0.0	3.6011668490157
1115-47-5	NA	0.519118456866934	191.061614276	-0.836932720675484	109.037136917071	1.0	-1.12859164039079
94-18-8	0.16	0.0397425873968475	228.078644244	1.43211791426398	159.732512917415	1.0	3.23597697377259
56470-64-5	0.0025	0.092215197290717	438.277009696001	1.02500675896818	97.9722255016754	0.0	6.90690528178587
2004-03-7	NA	0.753658850292069	134.059246192	1.14918063741087	189.203093649048	1.0	0.361634415772049
52-01-7	NA	0.0789283531639818	416.202130504001	0.892009879846918	206.598633741556	0.0	2.87371829795785
77-06-5	1.0E-4	0.248192293177374	346.141638424001	-6.78575616250067	232.960880664758	1.0	-1.72757901184086
480-16-0	NA	0.0464598897211721	302.04265266	0.404323232831466	285.679731076399	1.0	-0.449102008842873
124-07-2	NA	0.233743065583915	144.115029752	-3.27600437706297	12.6558589066641	1.0	-1.17059040092872
122-34-9	NA	0.254971433752691	201.078123064	0.837662890297258	215.515428339246	1.0	2.15485531642469
53-16-7	0.5731048571428571	0.04766133241126	270.161979944	1.40625145882378	251.671999235619	1.0	3.27033430902319
57-91-0	1.2	0.0290834877095269	272.177630008	1.39642270805041	196.659245600202	1.0	3.90756242587021
131-55-5	354.9643123166666	0.0157333346433666	246.05282342	1.34789801222955	210.793464899524	1.0	2.77288278655454
52806-53-8	NA	0.0728440306727544	292.067091492	-1.0027945427325	191.259616213407	1.0	2.24668188619456
599-64-4	110.0	0.066608408281646	212.120115132	-0.440665331075076	70.9917346877116	1.0	3.92704026516028
51-28-5	NA	0.0408631574821909	184.012021228	-6.66461979305513	117.908757030845	1.0	-0.742025373409759
23950-58-5	NA	0.0786836035705654	255.021769332	0.735048993253037	152.782106264115	1.0	3.32342433328661
80-55-7	NA	0.869392255342079	132.078644244	-5.77756856206923	-40.4827055223122	1.0	-0.151195421058655
609-14-3	NA	0.792167663344086	144.078644244	0.755045756803783	-33.2291493658518	0.0	0.795186785356033
76-03-9	NA	0.57270286271001	161.904212312	1.30787716868271	54.9992232174056	1.0	-4.87931668330993
13194-48-4	NA	0.0953980161251503	242.056408478	0.493792217019357	-11.2201916081396	0.0	3.42684769182643
58-18-4	10.005075443333334	0.498223426537033	302.224580200001	1.3869934546656	157.656031181769	1.0	3.43427900415286
12427-38-2	NA	0.609912905288321	211.957032256	-1.82433962696087	172.00986448964	1.0	-4.80117190592901
1582-09-8	NA	0.00752330796124345	335.109290652	0.936096195618764	55.3411695125561	1.0	1.71021034538657
104-76-7	NA	0.244242698744495	130.135765196	0.652644735164277	-64.7047520424886	1.0	2.90302685282783
